Step,Workload(%),Frequency(GHz),Voltage(V),Power(W)
1,3,1.8,1,18
2,18,1.6,1,16
3,86,1.8,1,18
4,49,1.8,1,18
5,90,2,1,20
6,28,1.8,1,18
7,71,2,1,20
8,32,2,1,20
9,22,1.8,1,18
10,89,2,1,20
11,80,2.2,1.1,26.62
12,87,2.4,1.1,29.04
13,8,2.2,1.1,26.62
14,48,2.2,1.1,26.62
15,39,2.2,1.1,26.62
16,5,2,1,20
17,36,2,1,20
18,48,2,1,20
19,6,1.8,1,18
20,82,2,1,20
21,33,2,1,20
22,21,1.8,1,18
23,28,1.6,1,16
24,98,1.8,1,18
25,83,2,1,20
26,63,2,1,20
27,26,1.8,1,18
28,61,1.8,1,18
29,46,1.8,1,18
30,44,1.8,1,18
31,73,2,1,20
32,49,2,1,20
33,47,2,1,20
34,31,2,1,20
35,40,2,1,20
36,22,1.8,1,18
37,3,1.6,1,16
38,87,1.8,1,18
39,86,2,1,20
40,26,1.8,1,18
41,34,1.8,1,18
42,63,1.8,1,18
43,85,2,1,20
44,43,2,1,20
45,78,2.2,1.1,26.62
46,33,2.2,1.1,26.62
47,48,2.2,1.1,26.62
48,52,2.2,1.1,26.62
49,44,2.2,1.1,26.62
50,68,2.2,1.1,26.62
